Месяц;Отрасль;Зарплата
2025-01;Строительство;41439
2025-01;Образование;43848
2025-01;Здравоохранение;46368
2025-01;Торговля;49134
2025-01;Транспорт;52795
2025-01;IT и связь;77371
2025-01;Финансы;58629
2025-01;Промышленность;60146
2025-01;Сельское хоз.;63759
2025-01;Госуправление;57719
2025-02;Строительство;41432
2025-02;Образование;44589
2025-02;Здравоохранение;47039
2025-02;Торговля;51494
2025-02;Транспорт;53084
2025-02;IT и связь;78447
2025-02;Финансы;58658
2025-02;Промышленность;61323
2025-02;Сельское хоз.;64481
2025-02;Госуправление;59604
2025-03;Строительство;42260
2025-03;Образование;46563
2025-03;Здравоохранение;47888
2025-03;Торговля;51547
2025-03;Транспорт;53603
2025-03;IT и связь;78225
2025-03;Финансы;59415
2025-03;Промышленность;61232
2025-03;Сельское хоз.;64433
2025-03;Госуправление;59636
2025-04;Строительство;42527
2025-04;Образование;44906
2025-04;Здравоохранение;49147
2025-04;Торговля;52291
2025-04;Транспорт;53421
2025-04;IT и связь;79455
2025-04;Финансы;58957
2025-04;Промышленность;62766
2025-04;Сельское хоз.;66117
2025-04;Госуправление;61396
2025-05;Строительство;42918
2025-05;Образование;46240
2025-05;Здравоохранение;48865
2025-05;Торговля;52389
2025-05;Транспорт;56084
2025-05;IT и связь;79617
2025-05;Финансы;60042
2025-05;Промышленность;63465
2025-05;Сельское хоз.;66405
2025-05;Госуправление;60962
2025-06;Строительство;43329
2025-06;Образование;47607
2025-06;Здравоохранение;48655
2025-06;Торговля;50472
2025-06;Транспорт;56102
2025-06;IT и связь;79302
2025-06;Финансы;61791
2025-06;Промышленность;63369
2025-06;Сельское хоз.;66188
2025-06;Госуправление;60567
2025-07;Строительство;43231
2025-07;Образование;47797
2025-07;Здравоохранение;49751
2025-07;Торговля;52387
2025-07;Транспорт;55259
2025-07;IT и связь;81072
2025-07;Финансы;61032
2025-07;Промышленность;64522
2025-07;Сельское хоз.;66675
2025-07;Госуправление;62483
2025-08;Строительство;44464
2025-08;Образование;47340
2025-08;Здравоохранение;50296
2025-08;Торговля;52238
2025-08;Транспорт;57133
2025-08;IT и связь;79762
2025-08;Финансы;61426
2025-08;Промышленность;65232
2025-08;Сельское хоз.;66825
2025-08;Госуправление;63010
