Округ,Месяц,Тариф
Центр,Янв,4.5
Центр,Фев,4.6
Центр,Мар,4.6
Центр,Апр,4.2
Центр,Май,4.5
Центр,Июн,4.3
Центр,Июл,4.4
Центр,Авг,4.7
Центр,Сен,4.5
Центр,Окт,4.7
Центр,Ноя,5.0
Центр,Дек,5.1
СЗ,Янв,4.6
СЗ,Фев,4.7
СЗ,Мар,4.9
СЗ,Апр,4.5
СЗ,Май,4.5
СЗ,Июн,4.6
СЗ,Июл,4.6
СЗ,Авг,4.7
СЗ,Сен,4.6
СЗ,Окт,4.7
СЗ,Ноя,5.2
СЗ,Дек,5.2
Юг,Янв,5.0
Юг,Фев,4.9
Юг,Мар,5.0
Юг,Апр,4.6
Юг,Май,4.6
Юг,Июн,4.7
Юг,Июл,4.8
Юг,Авг,4.7
Юг,Сен,4.8
Юг,Окт,4.7
Юг,Ноя,5.3
Юг,Дек,5.5
Кавказ,Янв,5.0
Кавказ,Фев,5.0
Кавказ,Мар,5.1
Кавказ,Апр,4.7
Кавказ,Май,4.9
Кавказ,Июн,4.9
Кавказ,Июл,4.8
Кавказ,Авг,5.0
Кавказ,Сен,4.9
Кавказ,Окт,5.1
Кавказ,Ноя,5.6
Кавказ,Дек,5.6
Поволжье,Янв,5.3
Поволжье,Фев,5.3
Поволжье,Мар,5.3
Поволжье,Апр,4.9
Поволжье,Май,4.8
Поволжье,Июн,4.9
Поволжье,Июл,4.8
Поволжье,Авг,5.0
Поволжье,Сен,5.1
Поволжье,Окт,5.1
Поволжье,Ноя,5.7
Поволжье,Дек,5.8
Урал,Янв,5.4
Урал,Фев,5.5
Урал,Мар,5.6
Урал,Апр,4.9
Урал,Май,5.2
Урал,Июн,5.2
Урал,Июл,5.2
Урал,Авг,5.3
Урал,Сен,5.2
Урал,Окт,5.3
Урал,Ноя,5.9
Урал,Дек,5.8
Сибирь,Янв,5.6
Сибирь,Фев,5.6
Сибирь,Мар,5.7
Сибирь,Апр,5.2
Сибирь,Май,5.1
Сибирь,Июн,5.3
Сибирь,Июл,5.5
Сибирь,Авг,5.4
Сибирь,Сен,5.3
Сибирь,Окт,5.3
Сибирь,Ноя,6.1
Сибирь,Дек,6.2
ДВ,Янв,5.8
ДВ,Фев,5.8
ДВ,Мар,5.9
ДВ,Апр,5.3
ДВ,Май,5.3
ДВ,Июн,5.4
ДВ,Июл,5.4
ДВ,Авг,5.4
ДВ,Сен,5.4
ДВ,Окт,5.5
ДВ,Ноя,6.2
ДВ,Дек,6.2
