Месяц;Германия;Нидерланды;Франция;Италия;Польша;Китай;Турция;Казахстан
2025-01;8,0;10,2;12,4;14,6;12,8;15,0;17,2;19,4
2025-02;9,4;11,6;13,8;12,0;14,3;16,4;18,6;16,8
2025-03;10,9;13,1;11,3;13,5;15,7;17,9;16,1;18,3
2025-04;12,3;10,5;12,8;14,9;17,1;15,3;17,6;19,8
2025-05;9,8;12,0;14,2;16,4;14,6;16,8;19,0;21,2
2025-06;11,3;13,4;15,7;13,8;16,1;18,3;20,4;18,6
2025-07;12,7;14,9;13,1;15,3;17,5;19,7;17,9;20,1
2025-08;14,2;12,3;14,6;16,8;19,0;17,1;19,3;21,5
2025-09;11,6;13,8;16,0;18,2;16,4;18,6;20,8;23,0
2025-10;13,1;15,3;17,4;15,6;17,9;20,1;22,3;20,4
2025-11;14,5;16,7;14,9;17,1;19,3;21,5;19,7;21,9
2025-12;15,9;14,1;16,4;18,6;20,8;18,9;21,1;23,3
