Дата,Город,PM25
2025-10-31,Москва,28
2025-10-31,СПб,33
2025-10-31,Казань,37
2025-10-31,Новосибирск,42
2025-10-31,Екатеринбург,45
2025-10-31,Красноярск,48
2025-10-31,Челябинск,51
2025-10-31,Омск,52
2025-10-31,Уфа,53
2025-10-31,Волгоград,54
2025-11-01,Москва,33
2025-11-01,СПб,38
2025-11-01,Казань,42
2025-11-01,Новосибирск,45
2025-11-01,Екатеринбург,49
2025-11-01,Красноярск,51
2025-11-01,Челябинск,53
2025-11-01,Омск,54
2025-11-01,Уфа,54
2025-11-01,Волгоград,53
2025-11-02,Москва,38
2025-11-02,СПб,42
2025-11-02,Казань,46
2025-11-02,Новосибирск,49
2025-11-02,Екатеринбург,51
2025-11-02,Красноярск,53
2025-11-02,Челябинск,54
2025-11-02,Омск,54
2025-11-02,Уфа,54
2025-11-02,Волгоград,53
2025-11-03,Москва,42
2025-11-03,СПб,46
2025-11-03,Казань,49
2025-11-03,Новосибирск,51
2025-11-03,Екатеринбург,53
2025-11-03,Красноярск,54
2025-11-03,Челябинск,54
2025-11-03,Омск,54
2025-11-03,Уфа,53
2025-11-03,Волгоград,52
2025-11-04,Москва,46
2025-11-04,СПб,49
2025-11-04,Казань,52
2025-11-04,Новосибирск,53
2025-11-04,Екатеринбург,54
2025-11-04,Красноярск,54
2025-11-04,Челябинск,54
2025-11-04,Омск,53
2025-11-04,Уфа,52
2025-11-04,Волгоград,51
2025-11-05,Москва,49
2025-11-05,СПб,52
2025-11-05,Казань,53
2025-11-05,Новосибирск,54
2025-11-05,Екатеринбург,55
2025-11-05,Красноярск,54
2025-11-05,Челябинск,53
2025-11-05,Омск,52
2025-11-05,Уфа,51
2025-11-05,Волгоград,50
2025-11-06,Москва,52
2025-11-06,СПб,54
2025-11-06,Казань,55
2025-11-06,Новосибирск,55
2025-11-06,Екатеринбург,54
2025-11-06,Красноярск,54
2025-11-06,Челябинск,52
2025-11-06,Омск,51
2025-11-06,Уфа,50
2025-11-06,Волгоград,49
2025-11-07,Москва,40
2025-11-07,СПб,41
2025-11-07,Казань,41
2025-11-07,Новосибирск,41
2025-11-07,Екатеринбург,40
2025-11-07,Красноярск,39
2025-11-07,Челябинск,38
2025-11-07,Омск,36
2025-11-07,Уфа,36
2025-11-07,Волгоград,35
2025-11-08,Москва,41
2025-11-08,СПб,41
2025-11-08,Казань,41
2025-11-08,Новосибирск,40
2025-11-08,Екатеринбург,39
2025-11-08,Красноярск,38
2025-11-08,Челябинск,37
2025-11-08,Омск,36
2025-11-08,Уфа,35
2025-11-08,Волгоград,35
2025-11-09,Москва,41
2025-11-09,СПб,41
2025-11-09,Казань,40
2025-11-09,Новосибирск,39
2025-11-09,Екатеринбург,38
2025-11-09,Красноярск,37
2025-11-09,Челябинск,36
2025-11-09,Омск,36
2025-11-09,Уфа,36
2025-11-09,Волгоград,36
2025-11-10,Москва,41
2025-11-10,СПб,40
2025-11-10,Казань,39
2025-11-10,Новосибирск,38
2025-11-10,Екатеринбург,37
2025-11-10,Красноярск,36
2025-11-10,Челябинск,36
2025-11-10,Омск,36
2025-11-10,Уфа,37
2025-11-10,Волгоград,38
2025-11-11,Москва,41
2025-11-11,СПб,39
2025-11-11,Казань,38
2025-11-11,Новосибирск,37
2025-11-11,Екатеринбург,36
2025-11-11,Красноярск,36
2025-11-11,Челябинск,36
2025-11-11,Омск,37
2025-11-11,Уфа,38
2025-11-11,Волгоград,41
2025-11-12,Москва,40
2025-11-12,СПб,39
2025-11-12,Казань,37
2025-11-12,Новосибирск,37
2025-11-12,Екатеринбург,36
2025-11-12,Красноярск,36
2025-11-12,Челябинск,37
2025-11-12,Омск,39
2025-11-12,Уфа,41
2025-11-12,Волгоград,44
2025-11-13,Москва,39
2025-11-13,СПб,38
2025-11-13,Казань,37
2025-11-13,Новосибирск,36
2025-11-13,Екатеринбург,36
2025-11-13,Красноярск,37
2025-11-13,Челябинск,39
2025-11-13,Омск,41
2025-11-13,Уфа,44
2025-11-13,Волгоград,48
2025-11-14,Москва,24
2025-11-14,СПб,23
2025-11-14,Казань,23
2025-11-14,Новосибирск,23
2025-11-14,Екатеринбург,23
2025-11-14,Красноярск,25
2025-11-14,Челябинск,27
2025-11-14,Омск,30
2025-11-14,Уфа,34
2025-11-14,Волгоград,38
2025-11-15,Москва,23
2025-11-15,СПб,23
2025-11-15,Казань,23
2025-11-15,Новосибирск,24
2025-11-15,Екатеринбург,25
2025-11-15,Красноярск,27
2025-11-15,Челябинск,30
2025-11-15,Омск,34
2025-11-15,Уфа,38
2025-11-15,Волгоград,43
2025-11-16,Москва,23
2025-11-16,СПб,23
2025-11-16,Казань,24
2025-11-16,Новосибирск,25
2025-11-16,Екатеринбург,28
2025-11-16,Красноярск,31
2025-11-16,Челябинск,34
2025-11-16,Омск,39
2025-11-16,Уфа,43
2025-11-16,Волгоград,48
2025-11-17,Москва,23
2025-11-17,СПб,24
2025-11-17,Казань,26
2025-11-17,Новосибирск,28
2025-11-17,Екатеринбург,31
2025-11-17,Красноярск,35
2025-11-17,Челябинск,39
2025-11-17,Омск,43
2025-11-17,Уфа,48
2025-11-17,Волгоград,53
2025-11-18,Москва,24
2025-11-18,СПб,26
2025-11-18,Казань,28
2025-11-18,Новосибирск,31
2025-11-18,Екатеринбург,35
2025-11-18,Красноярск,39
2025-11-18,Челябинск,43
2025-11-18,Омск,48
2025-11-18,Уфа,53
2025-11-18,Волгоград,58
2025-11-19,Москва,26
2025-11-19,СПб,28
2025-11-19,Казань,31
2025-11-19,Новосибирск,35
2025-11-19,Екатеринбург,39
2025-11-19,Красноярск,44
2025-11-19,Челябинск,48
2025-11-19,Омск,53
2025-11-19,Уфа,58
2025-11-19,Волгоград,62
2025-11-20,Москва,28
2025-11-20,СПб,31
2025-11-20,Казань,35
2025-11-20,Новосибирск,39
2025-11-20,Екатеринбург,44
2025-11-20,Красноярск,49
2025-11-20,Челябинск,53
2025-11-20,Омск,58
2025-11-20,Уфа,62
2025-11-20,Волгоград,66
2025-11-21,Москва,18
2025-11-21,СПб,21
2025-11-21,Казань,26
2025-11-21,Новосибирск,30
2025-11-21,Екатеринбург,35
2025-11-21,Красноярск,40
2025-11-21,Челябинск,44
2025-11-21,Омск,48
2025-11-21,Уфа,52
2025-11-21,Волгоград,55
2025-11-22,Москва,22
2025-11-22,СПб,26
2025-11-22,Казань,30
2025-11-22,Новосибирск,35
2025-11-22,Екатеринбург,40
2025-11-22,Красноярск,44
2025-11-22,Челябинск,49
2025-11-22,Омск,52
2025-11-22,Уфа,56
2025-11-22,Волгоград,58
2025-11-23,Москва,26
2025-11-23,СПб,30
2025-11-23,Казань,35
2025-11-23,Новосибирск,40
2025-11-23,Екатеринбург,45
2025-11-23,Красноярск,49
2025-11-23,Челябинск,53
2025-11-23,Омск,56
2025-11-23,Уфа,58
2025-11-23,Волгоград,60
2025-11-24,Москва,31
2025-11-24,СПб,35
