Квартал;Город;Тип;Цена_тыс
2024-Q1;Москва;Вторичка;320,0
2024-Q1;Москва;Новострой;291,2
2024-Q1;СПб;Вторичка;212,0
2024-Q1;СПб;Новострой;192,9
2024-Q1;Казань;Вторичка;149,0
2024-Q1;Казань;Новострой;135,6
2024-Q1;Новосибирск;Вторичка;124,0
2024-Q1;Новосибирск;Новострой;112,8
2024-Q1;Екатеринбург;Вторичка;133,0
2024-Q1;Екатеринбург;Новострой;121,0
2024-Q1;Краснодар;Вторичка;142,0
2024-Q1;Краснодар;Новострой;129,2
2024-Q2;Москва;Вторичка;324,0
2024-Q2;Москва;Новострой;294,8
2024-Q2;СПб;Вторичка;216,0
2024-Q2;СПб;Новострой;196,6
2024-Q2;Казань;Вторичка;153,0
2024-Q2;Казань;Новострой;139,2
2024-Q2;Новосибирск;Вторичка;128,0
2024-Q2;Новосибирск;Новострой;116,5
2024-Q2;Екатеринбург;Вторичка;137,0
2024-Q2;Екатеринбург;Новострой;124,7
2024-Q2;Краснодар;Вторичка;146,0
2024-Q2;Краснодар;Новострой;132,9
2024-Q3;Москва;Вторичка;328,0
2024-Q3;Москва;Новострой;298,5
2024-Q3;СПб;Вторичка;220,0
2024-Q3;СПб;Новострой;200,2
2024-Q3;Казань;Вторичка;157,0
2024-Q3;Казань;Новострой;142,9
2024-Q3;Новосибирск;Вторичка;132,0
2024-Q3;Новосибирск;Новострой;120,1
2024-Q3;Екатеринбург;Вторичка;141,0
2024-Q3;Екатеринбург;Новострой;128,3
2024-Q3;Краснодар;Вторичка;150,0
2024-Q3;Краснодар;Новострой;136,5
2024-Q4;Москва;Вторичка;332,0
2024-Q4;Москва;Новострой;302,1
2024-Q4;СПб;Вторичка;224,0
2024-Q4;СПб;Новострой;203,8
2024-Q4;Казань;Вторичка;161,0
2024-Q4;Казань;Новострой;146,5
2024-Q4;Новосибирск;Вторичка;136,0
2024-Q4;Новосибирск;Новострой;123,8
2024-Q4;Екатеринбург;Вторичка;145,0
2024-Q4;Екатеринбург;Новострой;132,0
2024-Q4;Краснодар;Вторичка;154,0
2024-Q4;Краснодар;Новострой;140,1
2025-Q1;Москва;Вторичка;336,0
2025-Q1;Москва;Новострой;305,8
2025-Q1;СПб;Вторичка;228,0
2025-Q1;СПб;Новострой;207,5
2025-Q1;Казань;Вторичка;165,0
2025-Q1;Казань;Новострой;150,2
2025-Q1;Новосибирск;Вторичка;140,0
2025-Q1;Новосибирск;Новострой;127,4
2025-Q1;Екатеринбург;Вторичка;149,0
2025-Q1;Екатеринбург;Новострой;135,6
2025-Q1;Краснодар;Вторичка;158,0
2025-Q1;Краснодар;Новострой;143,8
2025-Q2;Москва;Вторичка;340,0
2025-Q2;Москва;Новострой;309,4
2025-Q2;СПб;Вторичка;232,0
2025-Q2;СПб;Новострой;211,1
2025-Q2;Казань;Вторичка;169,0
2025-Q2;Казань;Новострой;153,8
2025-Q2;Новосибирск;Вторичка;144,0
2025-Q2;Новосибирск;Новострой;131,0
2025-Q2;Екатеринбург;Вторичка;153,0
2025-Q2;Екатеринбург;Новострой;139,2
2025-Q2;Краснодар;Вторичка;162,0
2025-Q2;Краснодар;Новострой;147,4
2025-Q3;Москва;Вторичка;344,0
2025-Q3;Москва;Новострой;313,0
2025-Q3;СПб;Вторичка;236,0
2025-Q3;СПб;Новострой;214,8
2025-Q3;Казань;Вторичка;173,0
2025-Q3;Казань;Новострой;157,4
2025-Q3;Новосибирск;Вторичка;148,0
2025-Q3;Новосибирск;Новострой;134,7
2025-Q3;Екатеринбург;Вторичка;157,0
2025-Q3;Екатеринбург;Новострой;142,9
2025-Q3;Краснодар;Вторичка;166,0
2025-Q3;Краснодар;Новострой;151,1
2025-Q4;Москва;Вторичка;348,0
2025-Q4;Москва;Новострой;316,7
2025-Q4;СПб;Вторичка;240,0
2025-Q4;СПб;Новострой;218,4
2025-Q4;Казань;Вторичка;177,0
2025-Q4;Казань;Новострой;161,1
2025-Q4;Новосибирск;Вторичка;152,0
2025-Q4;Новосибирск;Новострой;138,3
2025-Q4;Екатеринбург;Вторичка;161,0
2025-Q4;Екатеринбург;Новострой;146,5
2025-Q4;Краснодар;Вторичка;170,0
2025-Q4;Краснодар;Новострой;154,7
