Месяц,Марка,Цена
2025-01,АИ-92,51.66
2025-01,АИ-95,55.20
2025-01,ДТ,57.69
2025-02,АИ-92,51.73
2025-02,АИ-95,55.62
2025-02,ДТ,58.24
2025-03,АИ-92,52.34
2025-03,АИ-95,56.09
2025-03,ДТ,58.61
2025-04,АИ-92,52.40
2025-04,АИ-95,56.23
2025-04,ДТ,58.96
2025-05,АИ-92,52.82
2025-05,АИ-95,56.76
2025-05,ДТ,59.07
2025-06,АИ-92,53.11
2025-06,АИ-95,56.90
2025-06,ДТ,59.36
2025-07,АИ-92,53.41
2025-07,АИ-95,57.31
2025-07,ДТ,59.81
2025-08,АИ-92,53.52
2025-08,АИ-95,57.57
2025-08,ДТ,60.12
2025-09,АИ-92,53.72
2025-09,АИ-95,57.57
2025-09,ДТ,60.74
2025-10,АИ-92,54.17
2025-10,АИ-95,58.19
2025-10,ДТ,60.92
2025-11,АИ-92,54.60
2025-11,АИ-95,58.25
2025-11,ДТ,62.21
2025-12,АИ-92,55.16
2025-12,АИ-95,59.29
2025-12,ДТ,62.32
