Месяц,Тема,Обращения
Янв,ЖКХ и коммуналка,927
Янв,Дороги и транспорт,157
Янв,Медицина,207
Янв,Образование,211
Янв,Экология,223
Янв,Безопасность,373
Янв,Соцвыплаты,287
Янв,Занятость,290
Янв,Жильё,326
Янв,Связь и интернет,364
Янв,Торговля и услуги,395
Янв,Прочее,437
Фев,ЖКХ и коммуналка,761
Фев,Дороги и транспорт,217
Фев,Медицина,163
Фев,Образование,245
Фев,Экология,197
Фев,Безопасность,248
Фев,Соцвыплаты,258
Фев,Занятость,313
Фев,Жильё,300
Фев,Связь и интернет,389
Фев,Торговля и услуги,409
Фев,Прочее,404
Мар,ЖКХ и коммуналка,419
Мар,Дороги и транспорт,187
Мар,Медицина,212
Мар,Образование,240
Мар,Экология,360
Мар,Безопасность,272
Мар,Соцвыплаты,298
Мар,Занятость,366
Мар,Жильё,346
Мар,Связь и интернет,382
Мар,Торговля и услуги,336
Мар,Прочее,439
Апр,ЖКХ и коммуналка,361
Апр,Дороги и транспорт,263
Апр,Медицина,251
Апр,Образование,240
Апр,Экология,220
Апр,Безопасность,284
Апр,Соцвыплаты,281
Апр,Занятость,308
Апр,Жильё,354
Апр,Связь и интернет,352
Апр,Торговля и услуги,402
Апр,Прочее,420
Май,ЖКХ и коммуналка,434
Май,Дороги и транспорт,173
Май,Медицина,232
Май,Образование,320
Май,Экология,275
Май,Безопасность,320
Май,Соцвыплаты,325
Май,Занятость,388
Май,Жильё,342
Май,Связь и интернет,397
Май,Торговля и услуги,427
Май,Прочее,415
Июн,ЖКХ и коммуналка,475
Июн,Дороги и транспорт,560
Июн,Медицина,235
Июн,Образование,269
Июн,Экология,316
Июн,Безопасность,322
Июн,Соцвыплаты,401
Июн,Занятость,326
Июн,Жильё,387
Июн,Связь и интернет,403
Июн,Торговля и услуги,405
Июн,Прочее,409
Июл,ЖКХ и коммуналка,391
Июл,Дороги и транспорт,519
Июл,Медицина,257
Июл,Образование,249
Июл,Экология,222
Июл,Безопасность,388
Июл,Соцвыплаты,338
Июл,Занятость,331
Июл,Жильё,405
Июл,Связь и интернет,405
Июл,Торговля и услуги,439
Июл,Прочее,383
Авг,ЖКХ и коммуналка,419
Авг,Дороги и транспорт,675
Авг,Медицина,276
Авг,Образование,293
Авг,Экология,337
Авг,Безопасность,381
Авг,Соцвыплаты,397
Авг,Занятость,362
Авг,Жильё,384
Авг,Связь и интернет,433
Авг,Торговля и услуги,421
Авг,Прочее,454
Сен,ЖКХ и коммуналка,419
Сен,Дороги и транспорт,659
Сен,Медицина,251
Сен,Образование,290
Сен,Экология,374
Сен,Безопасность,339
Сен,Соцвыплаты,343
Сен,Занятость,395
Сен,Жильё,387
Сен,Связь и интернет,422
Сен,Торговля и услуги,481
Сен,Прочее,440
Окт,ЖКХ и коммуналка,1334
Окт,Дороги и транспорт,280
Окт,Медицина,241
Окт,Образование,262
Окт,Экология,358
Окт,Безопасность,356
Окт,Соцвыплаты,310
Окт,Занятость,347
Окт,Жильё,433
Окт,Связь и интернет,434
Окт,Торговля и услуги,458
Окт,Прочее,537
Ноя,ЖКХ и коммуналка,1125
Ноя,Дороги и транспорт,251
Ноя,Медицина,336
Ноя,Образование,303
Ноя,Экология,294
Ноя,Безопасность,341
Ноя,Соцвыплаты,323
Ноя,Занятость,362
Ноя,Жильё,440
Ноя,Связь и интернет,479
Ноя,Торговля и услуги,448
Ноя,Прочее,429
Дек,ЖКХ и коммуналка,1310
Дек,Дороги и транспорт,279
Дек,Медицина,277
Дек,Образование,329
Дек,Экология,349
Дек,Безопасность,317
Дек,Соцвыплаты,396
Дек,Занятость,371
Дек,Жильё,374
Дек,Связь и интернет,480
Дек,Торговля и услуги,394
Дек,Прочее,503
