Месяц;Германия;Нидерланды;Франция;Италия;Польша;Китай;Турция;Казахстан
2025-01;7,6;8,3;10,3;10,6;11,2;13,6;16,1;15,8
2025-02;8,4;8,3;9,8;12,2;12,5;13,6;15,2;16,6
2025-03;8,7;9,2;10,6;13,0;13,2;14,8;15,1;16,5
2025-04;9,7;9,8;11,3;12,3;14,0;14,5;15,6;17,2
2025-05;10,3;10,2;11,8;12,4;13,3;15,2;16,7;17,7
2025-06;9,9;11,4;11,7;12,8;13,6;15,1;17,6;17,8
2025-07;9,7;11,6;12,7;13,8;15,0;17,8;17,5;21,0
2025-08;10,9;10,9;13,8;13,6;15,2;19,0;16,7;21,5
2025-09;10,3;12,8;12,9;15,4;16,0;19,8;17,7;22,0
2025-10;11,2;13,1;13,8;15,4;16,4;19,9;19,4;21,9
2025-11;12,0;12,4;14,3;15,0;17,7;19,7;19,3;22,0
2025-12;12,5;13,1;14,4;15,4;16,2;20,6;19,8;22,0
