Месяц,Компонента,ИПЦ_%
Янв,Продукты,0,3
Янв,Услуги,0,4
Янв,Непродовольственные,0,5
Фев,Продукты,0,4
Фев,Услуги,0,4
Фев,Непродовольственные,0,6
Мар,Продукты,0,4
Мар,Услуги,0,5
Мар,Непродовольственные,0,6
Апр,Продукты,0,5
Апр,Услуги,0,6
Апр,Непродовольственные,0,6
Май,Продукты,0,8
Май,Услуги,0,6
Май,Непродовольственные,0,6
Июн,Продукты,0,9
Июн,Услуги,0,6
Июн,Непродовольственные,0,7
Июл,Продукты,1,0
Июл,Услуги,0,6
Июл,Непродовольственные,0,8
Авг,Продукты,0,7
Авг,Услуги,0,7
Авг,Непродовольственные,0,8
Сен,Продукты,0,6
Сен,Услуги,0,8
Сен,Непродовольственные,0,9
Окт,Продукты,0,8
Окт,Услуги,0,8
Окт,Непродовольственные,0,8
Ноя,Продукты,0,7
Ноя,Услуги,0,9
Ноя,Непродовольственные,0,8
Дек,Продукты,0,8
Дек,Услуги,0,9
Дек,Непродовольственные,1,0
