Month,Supplier,Bill_GBP
2025-01,British Gas,139.57
2025-01,EDF,140.72
2025-01,E.ON,151.61
2025-01,Octopus,149.81
2025-01,Ovo,154.83
2025-01,Scottish Power,154.13
2025-02,British Gas,140.50
2025-02,EDF,148.75
2025-02,E.ON,154.09
2025-02,Octopus,152.65
2025-02,Ovo,153.87
2025-02,Scottish Power,156.91
2025-03,British Gas,142.78
2025-03,EDF,145.64
2025-03,E.ON,146.85
2025-03,Octopus,154.15
2025-03,Ovo,155.10
2025-03,Scottish Power,164.62
2025-04,British Gas,142.93
2025-04,EDF,150.09
2025-04,E.ON,147.72
2025-04,Octopus,153.89
2025-04,Ovo,158.09
2025-04,Scottish Power,162.16
2025-05,British Gas,146.71
2025-05,EDF,154.52
2025-05,E.ON,151.65
2025-05,Octopus,158.30
2025-05,Ovo,163.17
2025-05,Scottish Power,159.50
2025-06,British Gas,152.16
2025-06,EDF,151.32
2025-06,E.ON,157.17
2025-06,Octopus,156.29
2025-06,Ovo,161.52
2025-06,Scottish Power,164.71
2025-07,British Gas,147.76
2025-07,EDF,155.62
2025-07,E.ON,157.41
2025-07,Octopus,162.10
2025-07,Ovo,161.48
2025-07,Scottish Power,166.13
2025-08,British Gas,153.94
2025-08,EDF,156.60
2025-08,E.ON,155.89
2025-08,Octopus,163.98
2025-08,Ovo,163.70
2025-08,Scottish Power,173.07
2025-09,British Gas,153.04
2025-09,EDF,158.11
2025-09,E.ON,159.84
2025-09,Octopus,165.13
2025-09,Ovo,168.20
2025-09,Scottish Power,170.16
2025-10,British Gas,166.01
2025-10,EDF,174.46
2025-10,E.ON,176.52
2025-10,Octopus,176.37
2025-10,Ovo,183.69
2025-10,Scottish Power,183.75
2025-11,British Gas,168.04
2025-11,EDF,175.11
2025-11,E.ON,175.85
2025-11,Octopus,171.75
2025-11,Ovo,180.42
2025-11,Scottish Power,185.29
2025-12,British Gas,165.67
2025-12,EDF,183.56
2025-12,E.ON,178.57
2025-12,Octopus,175.74
2025-12,Ovo,181.06
2025-12,Scottish Power,192.45
