State;Source;Share_pct
CA;Coal;19.5
CA;Gas;27.9
CA;Nuclear;8.6
CA;Wind;11.8
CA;Solar;4.0
TX;Coal;17.1
TX;Gas;30.2
TX;Nuclear;9.6
TX;Wind;12.0
TX;Solar;4.9
NY;Coal;20.8
NY;Gas;32.9
NY;Nuclear;10.7
NY;Wind;10.8
NY;Solar;6.0
FL;Coal;17.8
FL;Gas;33.4
FL;Nuclear;9.7
FL;Wind;12.6
FL;Solar;5.8
IL;Coal;17.6
IL;Gas;31.5
IL;Nuclear;11.3
IL;Wind;13.0
IL;Solar;6.9
PA;Coal;29.0
PA;Gas;33.1
PA;Nuclear;15.8
PA;Wind;13.7
PA;Solar;6.3
OH;Coal;21.2
OH;Gas;34.4
OH;Nuclear;15.3
OH;Wind;16.2
OH;Solar;9.0
WA;Coal;24.6
WA;Gas;37.1
WA;Nuclear;16.6
WA;Wind;16.1
WA;Solar;8.2
